author,commits,fixes,bugs,sign-off,test,review,report
Kamlakant Patel,26,0,0,31,3,0,3
David Windsor,26,0,0,152,0,56,0
Tal Gilboa,26,7,2,28,0,3,0
Florent Fourcot,26,1,1,25,1,0,1
Giovanni Cabiddu,26,1,0,37,0,0,1
Mathieu Othacehe,26,0,0,7,0,0,0
Sergei Trofimovich,26,0,0,29,7,0,4
Lowry Li,26,0,0,26,0,0,0
Arindam Nath,26,1,0,27,2,10,1
Frank Min,26,0,0,34,0,0,0
Li Dongyang,26,0,0,28,0,2,0
Suman Tripathi,26,0,0,31,1,0,0
Naohiro Aota,25,11,0,27,0,0,3
Juston Li,25,0,0,25,0,0,2
Aleksander Morgado,25,1,0,25,2,0,1
Andrew Price,25,2,2,25,2,8,2
Adham Abozaeid,25,1,0,26,0,3,0
Antonio Borneo,25,2,0,29,1,1,0
Vasant Hegde,25,1,0,27,1,7,0
Al Stone,25,2,0,28,2,9,2
Xu YiPing,25,2,0,25,0,0,0
Vincent Bernat,25,5,2,25,0,1,3
Max Kellermann,25,0,0,23,0,0,1
Xiaolei Li,25,4,1,25,1,1,0
Michael Karcher,25,1,0,23,0,0,0
Daniel Jordan,25,10,1,27,1,43,1
Greg Hackmann,25,1,0,31,1,0,0
Wei Huang,25,1,0,20,1,3,0
fred gao,25,4,1,25,0,0,0
Marcin Niestroj,25,6,0,25,0,2,0
Cristian Stoica,25,0,0,25,1,0,0
Christophe Lombard,25,3,2,37,0,6,0
Arun Parameswaran,24,5,1,24,0,8,0
Mordechay Goodstein,24,5,1,25,0,0,0
Johan Jonker,24,2,0,31,0,0,1
Liang Chen,24,0,0,25,0,0,0
Jouni Hogander,24,4,4,30,0,0,0
Clint Taylor,24,3,0,26,7,34,0
Mike Leach,24,1,0,24,2,0,1
Vu Pham,24,1,0,37,0,16,0
Arkadiusz Hiler,24,0,0,24,2,26,1
Mischa Jonker,24,0,0,27,2,0,1
Guy Levi,24,7,5,23,0,16,0
Andra Danciu,24,2,0,25,0,0,0
Farhan Ali,24,6,0,24,13,16,2
Zhiyong Tao,24,0,0,25,0,0,0
Zaibo Xu,24,0,0,24,0,1,0
Teresa Remmet,24,0,0,25,0,0,0
Srinath Mannam,24,4,1,30,3,3,0
Sabyasachi Gupta,24,0,0,27,0,0,0
Kiran Patil,24,0,0,38,1,0,1
Rohit kumar,24,1,0,29,2,2,1
Nick Bowler,24,1,0,24,8,0,16
Slawomir Stepien,24,1,1,26,0,1,0
Hoan Tran,24,1,0,32,1,1,0
Scott Bauer,24,4,2,25,4,36,4
Guchun Chen,23,1,0,23,0,59,0
Beniamin Bia,23,2,1,28,0,0,0
Paul Menzel,23,3,0,25,23,6,33
Mircea Caprioru,23,2,0,25,0,0,0
Robert Schwebel,23,0,0,31,3,0,0
Ilya Bakoulin,23,0,0,23,0,0,0
Vincent Pelletier,23,0,0,24,1,0,1
Greg KH,23,0,0,3,1,1,8
Pu Wen,23,0,0,23,0,0,0
Reza Arbab,23,3,0,25,8,1,2
Mike Manning,23,4,0,29,0,0,0
Daniel Walter,23,0,0,24,2,0,2
Meghana Madhyastha,23,0,0,23,0,0,0
Tony Krowiak,23,0,0,34,0,4,0
Brajeswar Ghosh,23,0,0,25,0,0,0
Vadim Lomovtsev,23,2,1,24,0,0,0
Ryan Lee,23,0,0,23,0,0,0
York Sun,23,0,0,29,1,0,0
Ioannis Valasakis,23,0,0,23,0,0,0
Artem Savkov,22,8,0,25,6,0,9
Luca Weiss,22,1,0,26,2,0,0
Manikanta Pubbisetty,22,3,2,25,1,0,0
Stuart Summers,22,0,0,25,0,19,0
Michael Heimpold,22,1,0,23,0,0,1
Bryan Whitehead,22,6,6,22,0,0,0
Jamal Shareef,22,0,0,22,0,0,0
Alice Michael,22,0,0,24,0,0,0
Nikolaus Voss,22,5,0,26,0,0,1
Michael Tretter,22,0,0,30,0,1,0
Jianqun Xu,22,0,0,33,4,0,0
Youquan Song,22,0,0,24,0,0,0
Denis Ciocca,22,0,0,47,2,2,0
Vedang Patel,22,1,1,23,0,2,0
Harshitha Ramamurthy,22,0,0,24,0,0,0
Annaliese McDermond,22,2,2,22,0,0,0
Sargun Dhillon,22,4,0,22,1,0,2
Bard liao,22,0,0,25,0,0,0
Patrick Venture,22,1,0,31,0,2,0
Chenbo Feng,22,0,0,25,0,0,0
Denis Bolotin,22,2,0,25,0,0,0
Felix Manlunas,22,0,0,235,1,0,0
Diana Craciun,22,1,0,24,10,11,0
Ganapatrao Kulkarni,22,0,0,27,17,3,5
Jimmy Assarsson,22,0,0,23,0,0,0
Oza Pawandeep,22,1,0,25,0,17,0
Benjamin Block,21,9,3,43,5,108,5
Paul Greenwalt,21,0,0,22,0,0,0
Christophe Roullier,21,1,0,21,0,0,0
Su Yue,21,2,0,21,1,11,4
Nikhil Devshatwar,21,0,0,25,0,0,2
Jackie Liu,21,5,2,21,0,4,0
Frederick Lawler,21,0,0,21,0,0,0
Nick Crews,21,1,1,23,1,5,0
Aaron Lewis,21,1,0,20,0,0,1
Junichi Nomura,21,16,0,0,3,0,5
Chris Paterson,21,5,0,54,1,93,0
Changwei Ge,21,0,0,22,0,19,0
Maya Nakamura,21,0,0,21,0,0,0
Shay Agroskin,21,9,4,21,0,2,0
Lionel Debieve,21,0,0,38,0,0,0
Stewart Smith,21,1,0,23,2,12,0
Shenghui Wang,21,1,0,20,2,16,1
PrasannaKumar Muralidharan,21,0,0,21,2,15,1
Vaibhav Nagarnaik,21,1,0,22,0,0,0
Steve Muckle,21,1,0,22,1,0,4
Jonathan Liu,21,6,0,21,6,0,2
Vladis Dronov,20,13,1,20,0,0,1
Lukas Bulwahn,20,11,0,20,0,1,0
Joakim Zhang,20,3,1,34,0,0,0
Jack Pham,20,7,0,25,2,0,1
Daniel Golle,20,1,0,28,1,0,2
Razvan Stefanescu,20,7,2,21,0,0,0
Bean Huo,20,4,0,20,4,25,0
Petr Vorel,20,3,0,20,1,22,1
Cezary Rojewski,20,6,0,28,0,2,0
Francesco Ruggeri,20,3,0,20,0,0,3
Kusanagi Kouichi,20,0,0,20,0,0,0
Petar Penkov,20,4,2,20,0,0,0
Jens Wiklander,20,1,0,66,0,0,0
Angelo Dureghello,20,1,0,20,27,11,4
Venkat Duvvuru,20,8,2,25,0,1,0
Simon Shields,20,1,0,21,2,2,0
John Pittman,20,3,0,20,1,1,1
Lang Cheng,20,1,1,24,0,0,0
Shyam Saini,20,1,0,22,0,0,1
Chandrakanth Patil,20,0,0,24,0,0,0
Swati Sharma,20,1,1,23,0,3,0
Tokunori Ikegami,20,0,0,20,0,5,0
Zhouyang Jia,20,0,0,20,0,0,0
Song Hongyan,20,2,0,21,0,0,0
Arun KS,20,0,0,23,3,0,0
Robbie Ko,20,5,0,20,0,0,6
Ofer Heifetz,20,2,0,20,0,3,1
Timofey Titovets,20,0,0,20,1,5,0
Lance Roy,20,0,0,20,0,0,5
Hamad Kadmany,20,0,0,25,0,0,0
Henrik Austad,20,0,0,20,7,6,1
Aleksei Mamlin,20,0,0,22,4,0,0
Chris Phlipot,20,2,0,20,0,0,0
Megha Dey,19,1,0,24,1,0,3
Can Guo,19,2,0,29,0,10,1
Mathias Kresin,19,9,0,21,0,0,5
Yintian Tao,19,0,0,20,0,1,0
Vishal Kulkarni,19,3,0,28,0,0,0
Mao Han,19,3,0,24,0,0,1
Frank Sorenson,19,0,0,19,4,0,4
Raed Salem,19,8,1,20,0,1,0
Tiezhu Yang,19,5,0,19,0,0,0
Krish Sadhukhan,19,0,0,35,0,33,1
Hou Pengyang,19,1,0,22,0,0,0
Yue Hu,19,0,0,20,0,0,1
Martin Schiller,19,5,0,20,0,0,0
Xiaochen Shen,19,13,0,19,0,0,0
Huaisheng Ye,19,0,0,19,0,0,1
Curtis Malainey,19,1,0,31,1,1,1
Xingyu Chen,19,2,0,19,1,0,1
Liu Xiang,19,3,0,19,0,0,0
Ihab Zhaika,19,1,0,19,0,0,0
Eric Long,19,0,0,19,0,0,0
Radhakrishna Sripada,19,3,0,23,0,13,2
Torsten Duwe,19,1,0,28,8,16,1
Mukesh Ojha,19,1,0,20,0,158,0
Erez Alfasi,19,5,0,19,0,1,0
Masashi Honma,19,2,2,19,0,3,0
Nikhil Badola,19,0,0,23,0,0,0
Peter Feuerer,19,0,0,22,0,7,0
Dan Haab,19,0,0,19,0,0,1
Wesley Chalmers,19,0,0,19,0,13,0
Naftali Goldstein,19,8,1,19,0,0,0
Tiwei Bie,19,3,0,19,0,0,1
Keiji Hayashibara,19,2,0,21,0,0,0
Thomas Jarosch,19,0,0,19,3,0,9
Tan Xiaojun,19,0,0,31,4,0,3
Shobhit Kukreti,19,0,0,19,0,0,0
Zhu Yingjiang,19,3,0,19,0,0,0
Kirill Marinushkin,19,2,0,19,0,0,0
Stephen Suryaputra,19,3,1,19,2,0,2
Young Xiao,19,2,0,19,0,0,1
Jack Wang,19,1,0,37,4,52,0
Uros Bizjak,19,0,0,19,1,0,0
Christopher Bostic,19,0,0,29,1,12,0
Alexandru Gagniuc,19,1,1,21,3,5,1
Raju Lakkaraju,19,0,0,19,0,0,0
Mamta Shukla,19,0,0,19,0,0,0
Enrico Scholz,19,0,0,19,0,0,1
Rafael Aquini,19,0,0,19,0,0,0
Tigran Mkrtchyan,19,1,0,22,2,0,5
Vincent Donnefort,19,0,0,21,3,0,1
Alex Estrin,19,7,1,19,1,13,2
Dan Aloni,19,0,0,20,1,0,2
Yuan Yao,19,0,0,31,0,5,0
Josip Pavic,18,0,0,18,0,1,0
He Zhe,18,6,0,18,1,0,3
Jonathan Lemon,18,7,1,18,4,1,3
Yufeng Mo,18,6,0,20,0,0,0
Doug Smythies,18,3,1,18,14,1,22
Bingbu Cao,18,0,0,18,3,4,0
Dennis Li,18,0,0,18,0,19,0
Guojia Liao,18,0,0,18,0,0,0
Nikos Tsironis,18,4,3,20,1,2,2
Gabriela Bittencourt,18,0,0,18,0,0,0
Hoang Le,18,7,1,17,1,0,4
Weiyi Lu,18,2,1,35,0,0,1
Dave Wysochanski,18,2,0,21,0,0,5
Matthias Maennich,18,2,1,19,5,13,0
Roman Kagan,18,3,0,17,0,59,2
Arseny Solokha,18,2,0,18,0,0,0
Gavi Teitz,18,2,0,18,0,2,0
Hubert Feurstein,18,1,0,19,1,0,2
Mattias Jacobsson,18,3,1,18,0,0,0
Marko Kohtala,18,1,0,18,0,0,1
Vicente Bergas,18,1,0,18,7,0,7
Rander Wang,18,0,0,21,0,0,0
Jonathan Marek,18,0,0,22,0,0,0
Shunli Wang,18,0,0,21,0,0,0
Robert Foss,18,0,0,21,10,6,1
BOUGH CHEN,18,2,0,0,0,0,0
Bo YU,18,2,0,20,0,0,0
Daniela Mormocea,18,0,0,18,0,0,0
Yu Zhang,18,1,1,18,0,0,0
Fathi Boudra,18,1,0,18,0,1,0
Frediano Ziglio,18,0,0,19,0,1,0
Derek Basehore,18,0,0,18,0,2,1
Zhao Yan,18,1,0,18,0,0,0
Chris Boot,18,0,0,24,6,0,7
Steve Sakoman,18,0,0,18,7,0,1
Grigor Tovmasyan,18,0,0,62,0,4,0
Nayan Deshmukh,18,0,0,18,0,5,0
Stephen Kitt,17,1,0,17,0,0,0
Saravanan Sekar,17,2,1,17,0,0,0
Linu Cherian,17,0,0,21,0,0,3
Tianyu Lan,17,2,0,11,1,0,2
Danit Goldberg,17,6,2,17,0,0,0
Michael Bringmann,17,3,1,16,0,0,1
Ajay Gupta,17,0,0,17,11,0,0
Alexander Lobakin,17,9,0,17,0,0,1
Stefan Mavrodiev,17,5,0,17,0,0,0
Alan Maguire,17,4,1,17,3,5,2
Marcelo Schmitt,17,0,0,16,0,3,0
Diego Calleja,17,1,0,18,0,0,0
Lianbo Jiang,17,0,0,17,2,1,1
Laurentiu Palcu,17,1,0,17,0,3,0
Christian Kujau,17,0,0,14,21,0,13
Timo Alho,17,0,0,17,2,5,0
Gustavo Romero,17,5,1,22,0,1,0
Dave Carroll,17,3,0,42,0,35,0
Michael Braun,17,1,0,16,0,0,3
Lucas Bates,17,0,0,18,2,0,5
Pankaj Gupta,17,2,1,17,2,4,1
Xue Chaojing,17,0,0,18,0,0,0
Kamenee Arumugam,17,1,0,17,0,4,0
Pankaj Bansal,17,0,0,17,0,0,1
Ulrich Weber,17,2,0,17,1,0,1
Zhengyuan Liu,17,6,0,17,0,2,1
Avinash Dayanand,17,0,0,18,0,2,0
Sugaya Taichi,17,2,2,17,1,0,0
Mesih Kilinc,17,0,0,17,0,0,0
Yannick Fertre,17,0,0,25,3,0,0
Bob Paauwe,17,0,0,17,3,41,1
Yue Haibing,17,3,0,18,0,0,0
Cezary Gapinski,17,0,0,17,0,0,0
Alan Kao,17,0,0,16,0,0,1
Ken Chalmers,17,0,0,17,0,1,0
Sergej Sawazki,17,0,0,17,0,0,0
Tom Yan,17,0,0,17,1,0,6
Darren Stevens,17,2,0,17,0,0,0
Andrew Elble,17,4,0,17,0,0,0
Philipp Rossak,17,3,0,17,1,0,1
Remi Pommarel,16,5,0,16,2,0,2
Matthias Reichl,16,2,0,18,7,0,6
Dmytro Linkin,16,12,1,16,0,3,0
Firo Yang,16,1,0,17,0,0,1
Suren Baghdasaryan,16,1,0,18,11,5,3
Pan Xiuli,16,0,0,22,1,0,0
Pascal Paillet,16,1,0,25,0,0,0
Alexandre Oliva,16,0,0,14,0,0,5
Thomas Hebb,16,4,0,20,0,0,0
Shile Zhang,16,0,0,16,0,0,0
Harry Pan,16,2,0,16,0,0,1
Michael Hernandez,16,7,2,16,0,0,0
Kevin Scott,16,0,0,25,0,0,0
Pascal Terjan,16,0,0,14,2,0,2
Niranjana Vishwanathapura,16,0,0,31,0,9,0
Matthew Bobrowski,16,1,0,16,0,1,0
Tomas Bortoli,16,3,0,16,0,1,0
Hanna Hawa,16,2,0,16,0,1,0
Benjamin Berg,16,0,0,18,3,0,0
Pawel Laszczak,16,4,4,17,0,2,1
Masayoshi Mizuma,16,3,0,19,7,2,4
Dien Pham,16,1,0,22,0,0,0
Jussi Laako,16,2,2,16,0,0,0
Surabhi Vishnoi,16,5,1,17,0,0,0
Bin Meng,16,0,0,16,1,4,0
Xiaolin Zhang,16,5,2,18,0,3,0
Naresh Kamboju,16,0,0,16,9,0,33
Kevin Lo,16,0,0,13,0,0,0
Fatemeh Darbehani,16,0,0,16,0,3,0
Patrick Havelange,16,1,1,18,0,0,0
Anton Protopopov,16,1,0,16,0,0,1
Amber Lin,16,0,0,20,1,1,0
Cristian Sicilia,16,0,0,16,0,0,0
Clark Wang,16,0,0,17,0,0,0
Zhouyi Zhou,16,0,0,18,1,0,1
Sandeep Patil,16,1,0,17,2,15,0
Masaharu Hayakawa,16,2,0,16,1,0,1
Chiranjeevi Rapolu,16,0,0,16,2,0,1
Aaron Tomlin,16,0,0,16,0,23,1
Joe Jin,16,0,0,16,0,2,2
Talat Batheesh,16,11,1,16,0,0,0
Nirmoy Das,15,0,0,15,0,2,0
Stefan Metzmacher,15,1,0,16,0,5,4
Yevgeny Kliteynik,15,2,0,22,0,4,1
Lewis Huang,15,0,0,15,0,0,0
Neeraj Upadhyay,15,6,0,17,1,0,2
Sriram R,15,1,1,13,0,0,0
Maharaja Kennadyrajan,15,0,0,17,0,0,1
Ran Wang,15,2,1,25,2,2,0
Joao Martins,15,6,0,15,0,21,0
James Ausmus,15,2,0,18,2,43,1
Naveen Manohar,15,0,0,15,0,0,0
Oleh Kravchenko,15,1,0,15,0,0,0
Jonathan Bakker,15,0,0,17,0,0,0
Jordan Lazare,15,0,0,20,0,31,0
Chris Lew,15,3,0,15,1,0,0
Julian Parkin,15,0,0,15,0,2,0
Todd Brandt,15,0,0,43,2,0,1
Viorel Suman,15,0,0,16,0,2,0
Stuart Hayes,15,1,0,17,1,0,1
Yauheni Kaliuta,15,0,0,15,1,0,13
Nathan Huckleberry,15,1,0,15,0,0,0
Tony Camuso,15,1,0,18,1,0,2
Alexander Wetzel,15,2,1,15,0,0,0
Emmanuel Vadot,15,0,0,15,0,1,2
Ben Segal,15,1,0,5,1,0,0
Rui Wang,15,1,0,24,0,1,1
Jan Kotas,15,0,0,18,4,1,4
Ricard Wanderlof,15,0,0,15,1,0,1
Lei YU,15,2,0,16,5,4,1
Jonas Rabenstein,15,0,0,20,0,0,1
Marcin Juszkiewicz,15,0,0,16,1,0,2
Rijo Thomas,15,1,1,15,0,3,0
Rayagonda Kokatanur,15,5,0,21,0,0,0
Vitor Soares,15,4,2,15,1,0,0
Yuval Avnery,15,4,0,15,0,1,1
Mariusz Bialonczyk,15,2,1,15,4,0,5
Alban Crequy,15,2,0,15,1,1,4
George Hilliard,15,0,0,15,0,0,0
Matthew Whitehead,15,0,0,15,7,1,12
Wentao Cai,15,0,0,15,0,0,0
Andreas Ziegler,15,3,0,17,1,0,3
Paul Fox,15,0,0,13,0,0,1
Hang Yuan,15,1,0,15,0,7,0
Sandy Huang,15,2,1,17,0,4,0
Alexey Skidanov,15,1,0,15,0,11,0
Macpaul Lin,15,0,0,16,0,0,1
Cameron Gutman,15,3,1,15,0,6,1
Daniel Santos,15,1,0,15,0,0,0
Amit Nischal,15,0,0,16,0,0,0
Koen Kooi,15,0,0,19,9,0,2
Janne Huttunen,15,1,0,15,0,0,0
Gaku Inami,15,1,0,25,2,0,0
Jason Andryuk,15,2,0,15,4,0,0
Zhao Chen,15,0,0,30,0,0,0
Nick Ewalt,15,0,0,15,0,0,0
Sherry Yang,15,2,1,15,0,0,0
Vinson Lee,15,5,0,18,2,0,11
Rakesh Ughreja,15,0,0,19,0,0,0
Jinbum Park,15,0,0,15,0,0,0
Oliver Upton,14,4,0,15,0,5,0
Xiaoyao Li,14,2,0,15,0,2,2
Michal Swiatkowski,14,0,0,14,0,0,0
Dragos Tarcatu,14,5,0,14,0,0,0
Sergey Organov,14,0,0,14,0,0,0
Zhan Liu,14,0,0,21,0,14,0
Nicholas Johnson,14,0,0,14,1,0,6
Jim Quinlan,14,0,0,14,0,0,3
Jiufei Xue,14,5,0,20,0,8,3
Dongdong Liu,14,4,1,16,0,1,1
Marco Elver,14,0,0,14,0,0,1
Tamizh chelvam,14,1,0,25,2,0,0
Andrey Skvortsov,14,0,0,14,0,0,2
Richard Gong,14,0,0,18,1,1,0
Jon Bloomfield,14,0,0,16,1,11,1
Aleksandr Loktionov,14,0,0,14,0,0,0
Dariusz Marcinkiewicz,14,0,0,17,0,0,0
Adit Ranadive,14,8,5,18,3,15,0
Hui Zhu,14,0,0,14,0,0,0
Mariusz Stachura,14,0,0,14,0,0,0
Artur Rojek,14,0,0,15,31,0,0
Bharath Vedartham,14,0,0,14,0,0,1
Fabien Lahoudere,14,0,0,20,0,30,0
Gen Zhang,14,3,0,14,0,0,0
Abhinav Kumar,14,0,0,15,0,14,0
Joseph Gravenor,14,0,0,14,0,0,0
Jakub Pawlak,14,0,0,15,0,0,0
Volodymyr Babchuk,14,1,0,16,0,0,1
Chris Mi,14,4,0,14,0,1,16
Lihong Yang,14,0,0,14,0,0,0
Kai Huang,14,0,0,14,0,0,1
Oz Shlomo,14,0,0,14,0,37,0
Camelia Groza,14,2,0,15,0,2,1
Shamir Rabinovitch,14,3,1,19,0,2,0
KaiChieh Chuang,14,0,0,29,0,0,0
David Kozub,14,1,0,21,0,0,0
Anil Gurumurthy,14,1,0,25,0,0,0
Yifeng Li,14,2,1,14,0,0,0
Darren Trapp,14,1,0,22,0,0,0
Aviya Erenfeld,14,1,0,14,0,0,0
Randy Li,14,0,0,14,0,0,1
Eli Cooper,14,3,0,14,0,0,1
Nipun Gupta,14,0,0,18,1,0,0
Dhaval Shah,14,0,0,14,0,0,0
Santosh Rastapur,14,0,0,37,0,0,0
Misono Tomohiro,14,3,1,8,1,4,4
Srikanth Jampala,14,1,1,16,0,11,0
Martin Leung,13,1,1,13,0,5,0
Lucas Tanure,13,0,0,13,0,0,0
Liu Song,13,1,0,13,0,1,1
Marios Pomonis,13,12,0,12,0,0,0
Qing Xu,13,0,0,15,0,0,0
Daniel Rosenberg,13,0,0,13,0,1,0
chen gong,13,0,0,13,0,0,0
Chris Down,13,0,0,14,0,0,1
Wayne Lin,13,3,0,13,0,0,0
Roman Bolshakov,13,8,0,14,1,10,0
Tung Nguyen,13,4,1,15,0,0,1
Subbaraya Sundeep,13,4,1,16,2,0,1
Honggang Li,13,4,0,16,2,0,3
Bryan Tan,13,5,2,14,0,5,0
Clemens Gruber,13,2,0,18,9,0,5
Ayman Bagabas,13,4,4,13,0,0,0
Lanqing Liu,13,0,0,13,0,0,0
Alaa Hleihel,13,11,0,15,1,0,3
Kevin Laatz,13,2,2,13,0,0,0
Krishna Yarlagadda,13,0,0,18,0,0,0
Rahul Verma,13,1,1,13,0,0,0
Alexandre Mergnat,13,1,0,13,0,0,1
Stefan Riedmueller,13,0,0,18,0,0,0
Otto Sabart,13,9,0,13,0,0,1
Alvin Lee,13,0,0,13,0,5,0
Michael Strauss,13,0,0,13,0,0,0
Jack Zhang,13,0,0,13,0,0,0
Yurii Pavlovskyi,13,0,0,13,0,0,0
Preethi Banala,13,0,0,14,0,0,1
WANG Chao,13,1,0,13,4,1,4
Shunyong Yang,13,1,0,13,2,0,0
Jakub Wilk,13,0,0,13,0,0,0
Hiromitsu Yamasaki,13,2,0,19,0,0,3
Shayenne Moura,13,0,0,13,0,1,0
Steven Chiu,13,0,0,13,0,10,0
Bernard Pidoux,13,0,0,13,2,0,4
Jeremy Fertic,13,7,0,13,0,0,0
Jorgen Hansen,13,2,0,13,0,38,1
Christoph Manszewski,13,0,0,13,0,0,0
Alan Douglas,13,4,0,13,0,0,1
Radu Rendec,13,2,1,12,0,0,3
Dongjiu Geng,13,1,0,14,0,3,0
Aymen Qader,13,0,0,13,0,0,0
Constantine Shulyupin,13,0,0,11,0,0,0
Amol Grover,12,1,0,12,2,1,0
Jim Lin,12,0,0,13,0,0,0
Xiaoguang Wang,12,1,0,11,1,0,2
Guangbin Huang,12,3,0,20,0,0,0
Sung Lee,12,0,0,13,0,0,0
Chen Wandun,12,8,0,12,0,0,0
Vivek Kasireddy,12,2,2,12,0,2,0
Daniel Verkamp,12,3,0,13,0,3,5
Adrian Huang,12,1,0,12,0,0,0
Ben Whitten,12,1,0,12,0,0,0
Eugene Syromiatnikov,12,5,0,13,0,0,6
Ashish Kumar,12,0,0,18,1,0,0
Anders Kaseorg,12,0,0,14,0,0,2
Alagu Sankar,12,0,0,12,0,0,0
Branden Bonaby,12,0,0,12,0,0,0
James Clark,12,2,0,7,0,0,0
Josef Friedl,12,0,0,12,0,0,0
Usha Ketineni,12,0,0,13,0,0,0
Nikitas Angelinas,12,0,0,13,0,3,0
Jeroen Hofstee,12,0,0,12,1,1,1
Kairui Song,12,3,1,12,0,0,0
Narendra K,12,0,0,15,1,0,1
Maciej Falkowski,12,0,0,12,0,0,0
David Frey,12,1,0,11,0,0,0
Khiem Nguyen,12,0,0,16,0,0,1
Gerd Rausch,12,3,0,15,0,1,1
Chuanhua Han,12,1,0,12,0,0,0
George McCollister,12,0,0,13,1,1,0
Bhushan Shah,12,1,0,12,1,0,0
Luis Araneda,12,1,0,12,0,0,0
Eiichi Tsukata,12,9,0,12,0,0,2
Han Xu,12,1,0,16,6,0,1
Martin Tsai,12,0,0,12,0,0,0
Noah Abradjian,12,0,0,12,0,0,0
Eyal Birger,12,2,0,13,1,4,1
Michael Petlan,12,2,0,12,3,0,15
Igor Stoppa,12,0,0,12,0,0,1
Luis Chamberlain,12,3,0,15,0,18,0
Hiroyuki Yokoyama,12,1,0,15,56,1,19
Sidong Yang,12,0,0,12,0,0,0
Jon Maxwell,12,1,0,13,0,0,0
KT Liao,12,0,0,13,0,0,0
William Cohen,12,0,0,12,2,1,7
Bhagyashri Dighole,12,0,0,12,0,0,0
Sumit Pundir,12,0,0,12,0,0,0
